,file name,filepath,blur,brightness,cluster,distance,Labeled,uniqueness,uniqueness punishment,outlier distance,similar distance,score
6088,2095738_aa1d0_5e7f48f524716.jpg,Kartaview_Dataset/Rest_set/2095738_aa1d0_5e7f48f524716.jpg,0.16445888663177,0.505210582873491,23,77.319672,0,0.6509698109401255,1.0,0.0,0.0,0.7091221174101541
6089,2095738_ae566_5e7f48b2e9329.jpg,Kartaview_Dataset/Rest_set/2095738_ae566_5e7f48b2e9329.jpg,0.171466982324839,0.489790902902792,23,94.33905,0,0.7226328745184964,1.0,0.80335,0.0,0.6609133161286039
6090,2095738_e8966_5e7f48b698c37.jpg,Kartaview_Dataset/Rest_set/2095738_e8966_5e7f48b698c37.jpg,0.260193866248703,0.467887796248242,23,99.486237,0,0.7581247049170797,1.0,0.80856,0.0,0.7122738679792324
6091,2819630_0134e_5f1dbfff3e5b6.jpg,Kartaview_Dataset/Rest_set/2819630_0134e_5f1dbfff3e5b6.jpg,0.0457326619242967,0.580466447370694,23,134.919922,0,0.7388257012004595,1.0,0.0,0.0,0.7769955559538536
6092,2819630_18782_5f1dbff909b14.jpg,Kartaview_Dataset/Rest_set/2819630_18782_5f1dbff909b14.jpg,0.087667853920838,0.384904599341421,23,120.835175,0,0.5756469450386248,1.0,0.791986,0.0,0.4936278457898634
6093,2819630_24dd8_5f1dc04149eb4.jpg,Kartaview_Dataset/Rest_set/2819630_24dd8_5f1dc04149eb4.jpg,0.0370469276461689,0.449343666964974,23,92.277771,0,0.5492669525959428,1.0,0.0,0.0,0.5791435214734253
6094,2819630_333f4_5f1dc03a2f450.jpg,Kartaview_Dataset/Rest_set/2819630_333f4_5f1dc03a2f450.jpg,0.0507992264290393,0.522847265653344,23,81.620911,0,0.5804046975501037,1.0,0.0,0.0,0.6167069061185788
6095,2819630_43e96_5f1dc00c1f975.jpg,Kartaview_Dataset/Rest_set/2819630_43e96_5f1dc00c1f975.jpg,0.01800569348142,0.466787717122017,23,108.152954,0,0.9322886123038092,1.0,0.0,0.0,0.959229136856194
6096,2819630_4c668_5f1dc043a84be.jpg,Kartaview_Dataset/Rest_set/2819630_4c668_5f1dc043a84be.jpg,0.0794927863594662,0.46337086358155,23,89.37146,0,0.469393251351672,1.0,0.0,0.0,0.5084603518026427
6097,2819630_50907_5f1dc044d0fa4.jpg,Kartaview_Dataset/Rest_set/2819630_50907_5f1dc044d0fa4.jpg,0.0468348254701008,0.455402956349275,23,77.884094,0,0.5213998707549868,1.0,0.0,0.0,0.5535369836664707
6098,2819630_67141_5f1dc049cbf2b.jpg,Kartaview_Dataset/Rest_set/2819630_67141_5f1dc049cbf2b.jpg,0.0223458637355186,0.478024332178113,23,91.742371,0,0.5543572260051507,1.0,0.0,0.0,0.58272761536116
6099,2819630_73d7c_5f1dc0473cd5b.jpg,Kartaview_Dataset/Rest_set/2819630_73d7c_5f1dc0473cd5b.jpg,0.0713799581839595,0.558654042175315,23,90.137054,0,0.4008380029636587,1.0,0.0,0.0,0.4430466967092163
6100,2819630_792b0_5f1dc04613c77.jpg,Kartaview_Dataset/Rest_set/2819630_792b0_5f1dc04613c77.jpg,0.0571232804309188,0.536864960212293,23,68.91333,0,0.5007126279803337,0.5,0.0,0.0,0.28862421808696526
6101,2819630_7fac4_5f1dc0018ed42.jpg,Kartaview_Dataset/Rest_set/2819630_7fac4_5f1dc0018ed42.jpg,0.163023170093595,0.489819409075674,23,101.188171,0,0.7089107177722963,1.0,0.0,0.0,0.766006322244799
6102,2819630_8f150_5f1dc0401fda2.jpg,Kartaview_Dataset/Rest_set/2819630_8f150_5f1dc0401fda2.jpg,0.0646122524811275,0.416261821423512,23,75.333618,0,0.5606362663443164,1.0,0.0,0.0,0.5943718079117175
6103,2819630_9dfe4_5f1dc04b12640.jpg,Kartaview_Dataset/Rest_set/2819630_9dfe4_5f1dc04b12640.jpg,0.0689054042158317,0.467933578889538,23,76.616089,0,0.630554079237056,0.5,0.0,0.0,0.35245479940617125
6104,2819630_a5183_5f1dc04890c39.jpg,Kartaview_Dataset/Rest_set/2819630_a5183_5f1dc04890c39.jpg,0.0407384563552887,0.561149196125925,23,76.09201,0,0.4060949363794903,0.5,0.0,0.0,0.23925261926709912
6105,2819630_aded0_5f1dc0427a62f.jpg,Kartaview_Dataset/Rest_set/2819630_aded0_5f1dc0427a62f.jpg,0.0754239330352064,0.487128599120282,23,79.51532,0,0.4772268422238107,0.5,0.0,0.0,0.27805463767496075
