,file name,index,Unnamed: 0,filepath,blur,brightness,cluster,distance,Labeled,uniqueness,uniqueness punishment,outlier distance
0,186544_ff07a_5919bf7c1de2f.jpg,95,95,Kartaview_Dataset/Basic_set/186544_ff07a_5919bf7c1de2f.jpg,0.0630327918081376,0.449828271903971,9,69.901581,1,0.893870512758628,1.0,0.816506
1,3270777_05218_5fb956ac9a996.jpg,100,100,Kartaview_Dataset/Basic_set/3270777_05218_5fb956ac9a996.jpg,0.234563176685493,0.41324966915563,9,63.749237,1,0.4830828369136723,1.0,0.0
2,3270777_06640_5fb956d306e06.jpg,101,101,Kartaview_Dataset/Basic_set/3270777_06640_5fb956d306e06.jpg,0.278152245434066,0.377067993269088,9,85.355713,1,0.504934812717912,1.0,0.0
3,3270777_06fbf_5fb9567692a11.jpg,102,102,Kartaview_Dataset/Basic_set/3270777_06fbf_5fb9567692a11.jpg,0.237084739203015,0.375866846802644,9,70.395874,1,0.8021218741201783,0.5,0.0
4,3270777_16c93_5fb959429a60c.jpg,104,104,Kartaview_Dataset/Basic_set/3270777_16c93_5fb959429a60c.jpg,0.218168156623327,0.395823759290421,9,91.389313,1,0.5784448535579005,1.0,0.0
5,3270777_1a537_5fb956b3e09b5.jpg,106,106,Kartaview_Dataset/Basic_set/3270777_1a537_5fb956b3e09b5.jpg,0.259432012031849,0.40845285770064,9,66.083313,1,0.5011866178161252,1.0,0.0
6,3270777_1ae62_5fb95706c9b31.jpg,107,107,Kartaview_Dataset/Basic_set/3270777_1ae62_5fb95706c9b31.jpg,0.190796076972546,0.377996171534599,9,65.659698,1,0.6328539413315306,0.5,0.0
7,3270777_23420_5fb954f5d4338.jpg,108,108,Kartaview_Dataset/Basic_set/3270777_23420_5fb954f5d4338.jpg,0.0901126374693492,0.449234393302259,9,65.345093,1,0.4360563693075756,1.0,0.0
8,3270777_2e41a_5fb95a2987ef9.jpg,109,109,Kartaview_Dataset/Basic_set/3270777_2e41a_5fb95a2987ef9.jpg,0.158723265345644,0.410463406712254,9,75.152069,1,0.5223899538470553,1.0,0.0
9,3270777_30e25_5fb9591500c32.jpg,110,110,Kartaview_Dataset/Basic_set/3270777_30e25_5fb9591500c32.jpg,0.282704823212095,0.579539996752024,9,94.13974,1,0.5867045828018297,1.0,0.0
10,3270777_3228c_5fb957d06d693.jpg,112,112,Kartaview_Dataset/Basic_set/3270777_3228c_5fb957d06d693.jpg,0.293572252682123,0.390229206906441,9,74.990936,1,0.4904478644154587,0.5,0.0
11,3270777_46a08_5fb9550a9d90c.jpg,121,121,Kartaview_Dataset/Basic_set/3270777_46a08_5fb9550a9d90c.jpg,0.0818666400055577,0.431861176665711,9,41.190613,1,0.2729966889109407,0.5,0.0
12,3270777_4734e_5fb956b10763b.jpg,122,122,Kartaview_Dataset/Basic_set/3270777_4734e_5fb956b10763b.jpg,0.20404139461528,0.395438062133091,9,57.669556,1,0.4825163511419066,0.5,0.0
13,3270777_52afa_5fb958023f0f1.jpg,126,126,Kartaview_Dataset/Basic_set/3270777_52afa_5fb958023f0f1.jpg,0.247198722489414,0.37121861297601,9,113.561951,1,0.5614941833742068,1.0,0.0
14,3270777_55f72_5fb959be68f39.jpg,128,128,Kartaview_Dataset/Basic_set/3270777_55f72_5fb959be68f39.jpg,0.182880003421172,0.40320469850835,9,50.16153,1,0.675766046169923,0.5,0.0
15,3270777_56b8b_5fb9580450343.jpg,129,129,Kartaview_Dataset/Basic_set/3270777_56b8b_5fb9580450343.jpg,0.273739091457574,0.357834532896123,9,87.031158,1,0.646576938876008,0.5,0.0
16,3270777_5cd09_5fb954f849035.jpg,132,132,Kartaview_Dataset/Basic_set/3270777_5cd09_5fb954f849035.jpg,0.0939540086298724,0.432917200797482,9,47.021057,1,0.3676777684203297,0.5,0.0
17,3270777_6437a_5fb95a4760841.jpg,135,135,Kartaview_Dataset/Basic_set/3270777_6437a_5fb95a4760841.jpg,0.150373343926525,0.327655134048118,9,89.621765,1,0.5332523187306321,0.5,0.0
18,3270777_689bb_5fb95a245f702.jpg,137,137,Kartaview_Dataset/Basic_set/3270777_689bb_5fb95a245f702.jpg,0.0856643857699761,0.336006578879172,9,153.874298,1,0.6251700001459726,0.5,0.0
19,3270777_68f7b_5fb956aa0cc88.jpg,138,138,Kartaview_Dataset/Basic_set/3270777_68f7b_5fb956aa0cc88.jpg,0.226410073033838,0.408810048685088,9,70.99826,1,0.6114821322533067,0.5,0.0
20,3270777_6f290_5fb9577d2fedb.jpg,140,140,Kartaview_Dataset/Basic_set/3270777_6f290_5fb9577d2fedb.jpg,0.320428551006214,0.368358925541876,9,72.610321,1,0.7789151947155206,0.5,0.0
21,3270777_79b84_5fb957ffe971b.jpg,142,142,Kartaview_Dataset/Basic_set/3270777_79b84_5fb957ffe971b.jpg,0.229129347295481,0.347099799247437,9,74.448822,1,0.5293440824337354,0.5,0.0
22,3270777_8672d_5fb9596c23feb.jpg,145,145,Kartaview_Dataset/Basic_set/3270777_8672d_5fb9596c23feb.jpg,0.204803358502133,0.36955964009661,9,66.578033,1,0.5699261434842329,1.0,0.0
23,3270777_8c768_5fb956cb50048.jpg,146,146,Kartaview_Dataset/Basic_set/3270777_8c768_5fb956cb50048.jpg,0.281835758263289,0.396637912864404,9,46.05426,1,0.5174507054240749,0.5,0.0
24,3270777_9136c_5fb95565a046f.jpg,150,150,Kartaview_Dataset/Basic_set/3270777_9136c_5fb95565a046f.jpg,0.134458698398172,0.408064137161338,9,60.30127,1,0.5347965797437978,1.0,0.0
