,filepath,uniqueness
341,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3493677_5f9d2_607162e649cbd.jpg,1.0
410,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912526_399f4_5f36a319e0b23.jpg,0.9636152682484866
90,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/51004_3c2cb_58bcacfd30dd2.jpg,0.9331160804116703
113,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1372782_d0096_5cb0f01e79a3a.jpg,0.9278341053417191
114,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_5138a_5f3839db5b35c.jpg,0.9258535452998911
287,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2095738_11676_5e7f48dd78f80.jpg,0.8782877540983738
128,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3402213_36b99_6016ca4f95f94.jpg,0.8567223347851064
316,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/367210_5f9c7_592842a31b51b.jpg,0.8540165095124452
49,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/51004_22fcd_58bcad275bca3.jpg,0.8477686773991892
170,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3176546_b6e0b_5f927cc44e8e7.jpg,0.8477312268987737
38,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912526_8d11b_5f36a32461aae.jpg,0.8454349763746376
59,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235117_f6916_5fabf51f639d0.jpg,0.8454039511292081
355,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_57bd5_5f36c90dd89c8.jpg,0.8397177285093118
298,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3431821_d19c0_6032b46503758.jpg,0.8366951447573081
407,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_4b39a_604aa0ed04219.jpg,0.8142604312214089
80,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/51004_783c2_58bcada39c775.jpg,0.8133630042690255
291,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3402193_d2eb25c9f6f6bd8f58d3ec3472fe78e8.jpg,0.8064864021885074
434,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3402193_958f885015359c2577c547d8b7c3665b.jpg,0.806042527067821
204,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3461317_af850_604d6156594ca.jpg,0.801014246278156
308,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/51004_e78a9_58bcacee215c6.jpg,0.7964281938787271
324,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346361_3a927_5ff1088504100.jpg,0.7922809674627792
317,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1169139_304ff_5add0124d9d2f.jpg,0.7913277926535376
211,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3402193_f132393cb614742d9034e114ed099b97.jpg,0.7912065480450104
338,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_5de5c_604aa0e8ead16.jpg,0.790185239672142
398,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1372846_63a08_5cb0fa437a252.jpg,0.7860187540521381
60,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3402193_54e7a2ffdf172c7124db569e1b5c5507.jpg,0.7777280217445787
35,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/367210_b6d85_592842a38ed08.jpg,0.7775256978241557
423,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2095738_110c0_5e7f48eba0ff1.jpg,0.7764204035387623
10,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2095738_7ca22_5e7f48dfa532a.jpg,0.7722954096242919
235,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912526_8b670_5f36a2bdbab00.jpg,0.7703143596930929
127,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459853_59063_604c9c98813cb.jpg,0.7701753579639078
382,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346361_d95c0_5ff107f729385.jpg,0.7690328150416038
231,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3548573_f834b_608d8e8e133b1.jpg,0.7679480463720979
130,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/54822_ac72e_58cea13808c8e.jpg,0.7665530225531911
123,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3402193_15579de56f4b9ef2eedd0a29133cfacf.jpg,0.7660162155826432
274,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/367210_885b3_592842abb6f59.jpg,0.7638567426586929
364,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912526_2a907_5f36a2c01cbee.jpg,0.7613606287544449
74,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/186544_2fbf0_5919c0333c07e.jpg,0.7605652272812563
139,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912526_878f6_5f36a32162948.jpg,0.7568432348007121
414,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3402193_1b29d4a649675cf6140db13cb3ce86b6.jpg,0.7537812600524644
393,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/186544_e71d3_5919bf9dde60b.jpg,0.7513108470112765
313,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/54822_d0aa9_58cea122a5345.jpg,0.7484056185604362
353,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346325_a8fef_5ff105d935275.jpg,0.7452845810580203
365,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/367210_85835_592842d9e9acc.jpg,0.7389781208885947
0,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459853_f0c36_604c9c817f63c.jpg,0.7370683592786924
286,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346325_915e7_5ff105d4438c8.jpg,0.7361744335382882
135,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/47421_bd411_58933f2c4ec3d.jpg,0.7346294899913726
223,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_51343_5f383741ab133.jpg,0.7345367681993558
344,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346325_b73aa_5ff105f8e3896.jpg,0.7337856441243307
140,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346361_f202f_5ff1081a853c3.jpg,0.7322075067515026
413,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346325_b0559_5ff105281a856.jpg,0.7283718092513924
173,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/51004_dcb12_58bcad3ff3c64.jpg,0.7273103279227513
164,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_4c7ac_604aa0eaecea6.jpg,0.7252321190854532
