,filepath,uniqueness
255,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/47421_3daa3_58933efd213c8.jpg,1.0
66,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/186544_ff07a_5919bf7c1de2f.jpg,0.893870512758628
151,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2993674_df905_5f56f65e037f7.jpg,0.8759305409190001
54,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2993674_b1718_5f56f67bd6a81.jpg,0.8703790735420541
10,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3270717_5d3a0_5fb954d102dd4.jpg,0.8333760681018845
39,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/3270777_06fbf_5fb9567692a11.jpg,0.8021218741201783
115,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/186548_84b13_5919c2e912f1b.jpg,0.7859986520876752
227,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/3270777_6f290_5fb9577d2fedb.jpg,0.7789151947155206
25,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3270717_6115a_5fb954cf62950.jpg,0.7732621493849772
52,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/3270777_aef59_5fb9575c71a6e.jpg,0.7462171969644894
180,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/186548_8b47d_5919c2d79d98d.jpg,0.7324976817363901
96,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346325_bbf59_5ff1063070b33.jpg,0.7260130540338284
73,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/3270777_55f72_5fb959be68f39.jpg,0.675766046169923
86,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3245485_123b9_5fb3cf2051ed2.jpg,0.6635593069158656
105,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/186548_8851f_5919c33330f02.jpg,0.6507830977361923
36,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/3270777_56b8b_5fb9580450343.jpg,0.646576938876008
