,index,blur,brightness,cluster,distance,Labeled,uniqueness
0,Kartaview_Dataset/Basic_set/186544_048dc_5919c0e38ae1b.jpg,0.287574998659367,0.330812840562384,12,65.820312,1,0.5677789978276756
1,Kartaview_Dataset/Basic_set/186544_048dc_5919c0ea4cde8.jpg,0.0562663888519556,0.414121698898798,16,92.270325,1,0.6671030790347433
2,Kartaview_Dataset/Basic_set/186544_17988_5919c06672104.jpg,0.123486879706156,0.457859670157665,16,82.125732,1,0.5715199870193401
3,Kartaview_Dataset/Basic_set/186544_17988_5919c06b364d4.jpg,0.163573208339844,0.32602423542989,12,62.435852,1,0.5243947430364839
4,Kartaview_Dataset/Basic_set/186544_1d629_5919c10e5f68c.jpg,0.0808434887087359,0.416676024753724,12,58.798767,1,0.4900295780954256
5,Kartaview_Dataset/Basic_set/186544_1d629_5919c11e56e61.jpg,0.0483402422773777,0.44532645614714,8,81.96582,1,0.5255622052692642
6,Kartaview_Dataset/Basic_set/186544_1e9cd_5919c151f19de.jpg,0.118808257866416,0.342672272304785,22,103.464966,1,0.639016227828838
7,Kartaview_Dataset/Basic_set/186544_1e9cd_5919c15f775f8.jpg,0.0878761770681548,0.43268310465048,12,165.397156,1,0.4828809430872257
8,Kartaview_Dataset/Basic_set/186544_2ddf1_5919c0bfd4149.jpg,0.23079140277074,0.323597323529513,12,59.992462,1,0.3907932978834171
9,Kartaview_Dataset/Basic_set/186544_2ddf1_5919c0c57d43a.jpg,0.0912095069452216,0.422383738005812,16,111.519653,1,0.647498585438655
10,Kartaview_Dataset/Basic_set/186544_2fbf0_5919c0333c07e.jpg,0.0703783321168604,0.388854000020732,1,52.743347,1,0.7605652272812563
11,Kartaview_Dataset/Basic_set/186544_2fbf0_5919c03e5bfe7.jpg,0.106946739649193,0.347668626969949,12,97.947266,1,0.5394811267911651
12,Kartaview_Dataset/Basic_set/186544_35eee_5919c13b3280d.jpg,0.259563616030154,0.273454965429787,12,122.708557,1,0.729083318252121
