,filepath,uniqueness
336,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3461317_86b95_604d617a9e229.jpg,1.0
57,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912526_10b99_5f36a300b5ce3.jpg,0.9970782528803322
281,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3431821_97f3c_6032b4ddb5c70.jpg,0.9692983424263649
246,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_4b3fd_5f38352e3141a.jpg,0.965597906005447
142,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3402213_e2541_6016c9e1380b0.jpg,0.9624715822418636
285,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_f6517_5f1dc0ec95782.jpg,0.9520085114418328
75,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1372846_72bf2_5cb0fa46b0ae8.jpg,0.9238119769267743
264,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/367210_73d58_592842b8a5344.jpg,0.9105321521899153
335,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819630_2655c_5f1dc03db21e3.jpg,0.9093605675061376
80,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3461317_7f167_604d61826582e.jpg,0.9072900023226503
249,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1372782_edab7_5cb0f02703fc7.jpg,0.8843800868775237
33,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346361_91690_5ff108b3b8aca.jpg,0.8774445971122034
312,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2986666_48910_5f544b9d98962.jpg,0.852950558914649
333,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346325_875fd_5ff105957d241.jpg,0.8504678419296137
279,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2095738_22f8a_5e7f48d0cad63.jpg,0.8413082620079994
256,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2993674_ad0ed_5f56ede7d35e4.jpg,0.8372010302457152
266,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3493677_5b827_607162a1caf4f.jpg,0.8246374277346333
159,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/367210_c8524_592842ae8a2e5.jpg,0.8213191124958765
402,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/186544_ba53c_5919bf5c1728c.jpg,0.8150163978180511
3,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235221_6b9ca_5fabfd18c9811.jpg,0.8117199693670821
308,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_4245e_5f3838cc49fce.jpg,0.8095373148873033
182,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2095738_467ee_5e7f48d6b6249.jpg,0.8066899828179047
348,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/367210_13829_5928427871ba8.jpg,0.802268451782245
156,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346325_96fce_5ff1056446e14.jpg,0.7889231965863285
119,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_064d5_604c9de70d471.jpg,0.788333835974826
413,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2095738_3abcd_5e7f48fc45a94.jpg,0.7818172626682125
410,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2095738_9f008_5e7f48f68ef72.jpg,0.7797995769893887
307,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3026898_1e926_5f614a1bee743.jpg,0.7685511881093291
329,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459853_42cc0_604c9cd3b456e.jpg,0.760871666565754
400,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3245485_e6a38_5fb3cf4b3858c.jpg,0.7598302497424165
407,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_34bf4_5f1dc11779f62.jpg,0.757684801538696
83,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2095738_86a29_5e7f48cf5a642.jpg,0.7519724645385637
40,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/367210_e3ca4_5928428a704fc.jpg,0.751135884041124
236,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459513_af29f_604c74a8cc298.jpg,0.7447634243131278
290,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346325_cbc4b_5ff105cb1ef9c.jpg,0.7442012865094181
283,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346329_e7879_5ff10703b8739.jpg,0.7430935040972395
397,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_10725_604c9d2c1c5d3.jpg,0.7429236213384326
130,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_8476f_5f1dc0edc4433.jpg,0.7406095570951807
123,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3461585_5e1de_604d9694d943f.jpg,0.7373562851790425
65,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3245485_833d3_5fb3cf3a0dee6.jpg,0.7325464521154985
408,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317161_80e3e_5fce42e0dc61d.jpg,0.7323430550494716
434,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_36e63_604c9d3603ae0.jpg,0.7311200581533366
216,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_8a751_5f36cde9c5a5d.jpg,0.7291192286229395
46,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_70584_604c9e17012c8.jpg,0.7265533015213139
203,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2923010_1570a_5f396fe508172.jpg,0.723127225822193
52,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2907442_163ef_5f34c84627448.jpg,0.7177604869216186
191,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3493677_c5383_607162cef3147.jpg,0.7173692425700806
81,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/367210_b8a12_5928427891150.jpg,0.7171898953436117
288,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3461317_5ca8f_604d615b78f61.jpg,0.7162581680468083
267,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3245485_1ca8d_5fb3cf4d69da3.jpg,0.7156500428019196
233,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819630_71b41_5f1dc02d19f35.jpg,0.713783422923
189,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_6261a_5f3835263f5cf.jpg,0.7122780185688062
224,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3270717_37470_5fb954d28756e.jpg,0.7106603207516877
38,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1165737_fd67c_5ad36b00599bd.jpg,0.710458107468948
106,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3245485_f8e51_5fb3cf6bd82bd.jpg,0.7100066899256166
388,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3431821_97d31_6032b4e4bcd86.jpg,0.7094455673541321
420,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_187c0_5f38395a171f5.jpg,0.7059849003698878
255,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317161_37fb5_5fce42ed81c28.jpg,0.7047821945182555
72,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459513_6ebfb_604c74c63973f.jpg,0.7028877135243795
286,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317161_7e40a_5fce42f3bf226.jpg,0.7025433505353071
377,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_2ddbd_5f1dc0eb75a5f.jpg,0.7012701181229684
244,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3402193_1ddbb7d02118e72cc18f42a5ba404daa.jpg,0.69900142096729
318,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3229761_f21cf_5fa9a9823179a.jpg,0.6980082041128579
91,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_09193_604c9df8ab921.jpg,0.6966645577668126
226,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2095738_3510b_5e7f48d12b876.jpg,0.6958801182463924
284,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_5349d_5f38351f702fc.jpg,0.6952611420980752
100,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_cfa44_604c9d2faf386.jpg,0.6941451377101832
29,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3026898_c546d_5f6143b4c3e01.jpg,0.6925024707554756
88,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_37dc1_5f1dc123f2731.jpg,0.6906389920486053
424,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346329_50332_5ff1070109c1b.jpg,0.6893466018583339
230,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1372846_2cf11_5cb0fa46a411b.jpg,0.6876684255494283
199,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346361_26f23_5ff10924aa757.jpg,0.6872707185945987
178,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3640973_9586f_60bc3a2ce8460.jpg,0.6871010429123098
299,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/367210_7ee49_592842bfdf8dd.jpg,0.6870753911685521
71,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_a4235_5f1dc0a5360fb.jpg,0.6870611803354973
269,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3548573_0c410_608d8f342a8d7.jpg,0.6863385641554004
239,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2907442_77fa0_5f34c2b64ca15.jpg,0.6857937226618578
