,filepath,uniqueness
86,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_975a4_5f221e0495fb1.jpg,1.0
134,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_91b29_5f221acf9af35.jpg,0.9504199331561015
80,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_99cb6_5f221db94043b.jpg,0.9218055023372614
113,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_87737_5f221d6e23cf5.jpg,0.9171841908110149
176,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_e72f0_5f2217f694476.jpg,0.9133982684196478
160,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_4e1e0_5f221c552845a.jpg,0.9120321484543642
131,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_49c19_5f2219d0cb2f5.jpg,0.910122020846161
126,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_5bedf_5f221da912c74.jpg,0.9058258851699171
161,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_8108e_5f221ca0bc287.jpg,0.899118692013891
58,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_16a5a_5f221aade4d88.jpg,0.89124685642406
155,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_21222_5f221856c1382.jpg,0.8903380303987819
33,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_ec409_5f221a5fe3961.jpg,0.8898587767919679
100,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_51d08_5f221d498b544.jpg,0.882775157963163
137,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_a51f9_5f221da1198df.jpg,0.8821262588581659
57,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_324fe_5f221b1b21f4d.jpg,0.8804641139828859
149,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_e003e_5f221b249b31a.jpg,0.8796571446009991
138,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_060d9_5f221c2b2f51b.jpg,0.877860207029359
14,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_87229_5f221b9f339da.jpg,0.8696375027717603
41,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_aa925_5f221ac31854a.jpg,0.8683695521872192
159,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_e94b3_5f221dc315c38.jpg,0.8680602051358765
129,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_28260_5f221d98039ad.jpg,0.8637414594406209
43,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_ec149_5f221bc9eef76.jpg,0.8620240331858533
177,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_44e5f_5f221cde90ef9.jpg,0.8619388055423075
136,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_07692_5f221cc1ef4e4.jpg,0.8539588280094733
22,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_9547a_5f221e3c8629c.jpg,0.8525153714167205
167,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_b20c3_5f221d1b34aa1.jpg,0.8496010210910258
66,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_2f462_5f221d650d458.jpg,0.8485110695252426
165,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_3295d_5f221ba802433.jpg,0.8480673970253864
114,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_a47fd_5f221a37936e0.jpg,0.846954455846459
142,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_4aa8e_5f221c146639d.jpg,0.8447498505034775
75,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_931c5_5f22183dd6c57.jpg,0.8442268553123613
1,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_f357a_5f221d7ddc369.jpg,0.8438239973583438
63,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_e39f4_5f221aae0d733.jpg,0.8436953316115139
105,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_19317_5f221c82cdbb8.jpg,0.8428440761941928
178,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_424bf_5f22196f01dc7.jpg,0.8427050490603324
29,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_1019a_5f221bba88640.jpg,0.8398399001725197
3,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_3f1bf_5f221d8e9e86c.jpg,0.8396075928498161
47,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_5b8ac_5f221e3365bd1.jpg,0.8365860713110346
139,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_1ea0f_5f221d421b8a7.jpg,0.8362172995933536
170,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_03824_5f221acd2f2d5.jpg,0.8292754670690711
11,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_37bda_5f221ab9092b6.jpg,0.8257352420331668
84,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_6190f_5f221ceb68654.jpg,0.8237702537752413
111,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_fc2cc_5f221e4feca8c.jpg,0.8236873887767341
48,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_390c3_5f221a7535e91.jpg,0.8201834177226884
76,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_be43d_5f221a5804b09.jpg,0.8192839886076503
2,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_7035e_5f221c6a0b5d8.jpg,0.8163960886751971
16,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_3ade9_5f221cf3aadfe.jpg,0.815413062990889
78,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_26d83_5f221a7c707af.jpg,0.807749094353824
110,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_7ccdb_5f221d52872a3.jpg,0.8063879004703586
130,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_ef6de_5f221bb00980a.jpg,0.804304245122188
12,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_a460d_5f221cc21612f.jpg,0.8030613125269438
60,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_777dd_5f221b3076cff.jpg,0.8028150653574558
8,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_64c83_5f221dcc60c89.jpg,0.794372527887446
21,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_0002b_5f221db0a7a16.jpg,0.7879981579191649
90,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_21f4a_5f221d054ec73.jpg,0.7876714460738833
152,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_1d04e_5f221c5ec1adb.jpg,0.7867245289317341
4,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_8156f_5f221d5d82539.jpg,0.7808776935644638
180,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_8ad26_5f221c57d9661.jpg,0.7802087416130963
44,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_f0f34_5f221e588f037.jpg,0.7784371147993846
141,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_13024_5f221c69113b7.jpg,0.7783105465307724
135,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_41de6_5f221a5780987.jpg,0.7761609869255406
19,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_ff5d4_5f22184a5bb8f.jpg,0.7736719298735787
87,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_7c43b_5f2218732ba04.jpg,0.771698059739113
0,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_2b030_5f221cd2d1467.jpg,0.7626946666795312
46,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_01b52_5f2219e56b5e4.jpg,0.7619420236484133
169,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_79604_5f221c0d5a686.jpg,0.7618025345770649
74,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_1f997_5f221c9767759.jpg,0.7609783185322374
171,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_d0e0c_5f2219c736b26.jpg,0.7572541263278737
102,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_26cfb_5f221de841b42.jpg,0.7568693457495499
81,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_4dae7_5f221cb222fd9.jpg,0.7555613066637151
132,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_41f74_5f221d75afa11.jpg,0.7538793431943441
24,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_da67a_5f221cdb3cb33.jpg,0.7458025999929935
77,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_32541_5f221e1527682.jpg,0.742719547018007
174,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_6e47a_5f221c9247f17.jpg,0.7412628419438172
95,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_ef1d1_5f221b0b35fc1.jpg,0.7395828283167598
98,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_6a667_5f221850987e5.jpg,0.737818727182974
143,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_33424_5f22180233cc5.jpg,0.736635790580258
117,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_fd237_5f221cc9d6b74.jpg,0.7350511487797176
52,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_5ac55_5f22199859e87.jpg,0.7290632177199035
38,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_09a95_5f221b682643e.jpg,0.7271574300991086
173,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_d0e07_5f221c9c7e1ec.jpg,0.7256433290914964
39,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_fc0f9_5f221c8cd1c29.jpg,0.7256018993613822
140,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_1fc5b_5f221a993a77f.jpg,0.7244474006653921
72,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_44c38_5f2218ef676eb.jpg,0.7243404899389315
118,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_82aa9_5f221c49d8207.jpg,0.7218978359675737
122,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_1f09b_5f221bee3da91.jpg,0.7212697111335868
93,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834658_34f7b_5f221a8561925.jpg,0.7206901981890778
162,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2834622_807fb_5f221bf7a91e6.jpg,0.7203848771204997
