,filepath,uniqueness
403,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317197_21066_5fce46539d850.jpg,1.0
329,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_9dc95_604c9d4b7e5fd.jpg,0.9722592845560276
370,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_f4910_604c9d2535b91.jpg,0.9642884145500875
152,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3461317_f97e1_604d610c87cc7.jpg,0.9445669628683533
144,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3641033_6e7e2_60bc3e464fa4f.jpg,0.9435661546524151
459,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819630_43e96_5f1dc00c1f975.jpg,0.9322886123038093
392,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_13b06_5f2a0d51df289.jpg,0.8915208526577371
139,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3461317_0fc4c_604d617c2b146.jpg,0.8755069479600526
278,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_bf1b0_5f1dc0c1ae2e2.jpg,0.8654625463497747
358,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459853_e4341_604c9cbf0ae56.jpg,0.850474004874927
402,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912930_34948_5f36c0160632e.jpg,0.8443203343462716
434,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Basic_set/3659221_ddef7_60c3eca426bd1.jpg,0.8432666216872579
88,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3461317_cfa6b_604d6183efb53.jpg,0.842271857993906
429,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_6dfb9_604c9e253e7cc.jpg,0.8317130981863271
197,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_14676_5f1dc08faad59.jpg,0.8309948031280068
297,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_c2759_5f1dc07b26236.jpg,0.8237630523725183
276,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_16934_5f1dc078be697.jpg,0.8199249972132137
433,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_23cd7_604c9e239efe5.jpg,0.8187571349206038
169,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3245485_3dea4_5fb3cf424820a.jpg,0.8176374382695752
101,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3245485_a2b97_5fb3cf719d75d.jpg,0.8175816791882619
80,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_0e85b_5f1dc0f4ebabe.jpg,0.8124769388034382
240,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2907442_a16a6_5f34caa068d2c.jpg,0.8115965158175505
410,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3229761_8fabc_5fa9a9604cf20.jpg,0.8105852211730237
242,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317197_1f989_5fce46bd99897.jpg,0.8100223650928493
198,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_51c03_5f1dc0766104e.jpg,0.8041422409005677
69,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1169139_74922_5add012839c89.jpg,0.8038756519459201
249,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/367210_24228_5928428d6209d.jpg,0.8002512400203697
301,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3229761_db300_5fa9aa4f19691.jpg,0.7975800907877565
94,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_e7fbe_5f1dc084ee10e.jpg,0.7961214820447154
281,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912930_28bc5_5f36bfedc3882.jpg,0.7941834944753474
409,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_27e44_5f1dc0fd22265.jpg,0.7893436343127219
184,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3493677_e5bb4_60716351e0c52.jpg,0.7893058501266172
91,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3461585_d45f4_604d96a7b61a8.jpg,0.7884017610239996
25,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_583ac_5f1dc0a2c83fa.jpg,0.7821576867303527
217,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_e32a5_604c9e1bd3cb8.jpg,0.7813514261894681
364,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_01be4_5f1dc0fac3440.jpg,0.7800692961682013
50,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_2bbf3_5f1dc0c06f047.jpg,0.7752910991328579
424,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3458109_6d147_604c2070c48cd.jpg,0.773845506005514
232,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2986666_2d323_5f544d1942e31.jpg,0.7635816135829897
451,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3431821_63a08_6032b4e61e2d1.jpg,0.7631504842303963
285,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_718ee_604c9e1a40e66.jpg,0.7623316309334476
416,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_2c3cc_604c9d40e0ba4.jpg,0.7615206204430365
319,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_e0140_5f383950989c8.jpg,0.7610341138291757
375,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_e69c7_604c9dcb3c5e8.jpg,0.7598376723690233
215,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2095738_e8966_5e7f48b698c37.jpg,0.7581247049170797
41,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_fb673_5f2a09bcad2fc.jpg,0.7567991463846746
37,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_e0f4b_5f1dc0bcc71f9.jpg,0.7563585756301261
52,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_98111_5f2a096a0902e.jpg,0.7559902969548006
178,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459853_aacfe_604c9c72e9a2d.jpg,0.7543506602735479
33,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317161_0ebb6_5fce428fceae5.jpg,0.7530488069435268
