,filepath,uniqueness
258,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1372782_18e29_5cb0f02323db6.jpg,1.0
230,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_4ffa3_604aa002bd59f.jpg,0.9288585781971378
229,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/47421_16f68_58933f3a11162.jpg,0.8999941707950676
283,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1372782_032b2_5cb0f01f3d8c4.jpg,0.8842997039641745
185,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_c5ca0_604aa00064903.jpg,0.8817790680971006
337,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346325_7eb51_5ff10556dc51d.jpg,0.8394698943525565
313,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3229761_b2373_5fa9a8b021c9d.jpg,0.8350082674844733
154,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_90d65_5f38360f565e8.jpg,0.8074564930525163
296,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_3a6ae_5f383650450eb.jpg,0.798555477873763
195,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3456005_78b51_604aa583e593d.jpg,0.7958018028409984
91,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346361_a9bd1_5ff108a3cc45e.jpg,0.7911386414249421
252,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317197_cf69a_5fce4787a88ac.jpg,0.7846026493855189
332,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3493677_5588e_6071630e84feb.jpg,0.7822224558683494
302,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_7e6dd_5f3836081c91c.jpg,0.7786889555334973
336,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_cfdee_604aa13a1a85c.jpg,0.7761997511708946
22,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346361_c454b_5ff1080855e7d.jpg,0.776102579623167
129,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3548573_1fa05_608d8f27ed8a3.jpg,0.7755022907727344
119,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_2e35a_5f36c8c3694db.jpg,0.7747220726339262
140,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3640973_fcc92_60bc3a6865f77.jpg,0.7738497932937648
222,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_fde49_5f383632e9fd8.jpg,0.773169270289671
63,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_a286b_604aa11c174d2.jpg,0.7683999557038051
202,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2923010_afa44_5f396f7a29e3a.jpg,0.7602300813096898
40,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_69f8a_604aa02386732.jpg,0.749771716804819
157,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_0451c_604aa00789594.jpg,0.7493571411664809
259,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_8b295_604aa02f5a6a1.jpg,0.7485941719832607
193,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_fca27_5f36c999d1283.jpg,0.7395295902531392
143,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_bbd14_604aa0052a10d.jpg,0.7351220965335878
243,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2907442_13908_5f34c46e84c7c.jpg,0.7327105963988572
105,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_9c969_5f383615b06b2.jpg,0.7316233112385241
147,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_b0c63_5f36cac3e4860.jpg,0.7271821390366571
310,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_d084e_604aa11e28aa4.jpg,0.7240123710047738
348,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_8a3b4_604aa0f33f4ca.jpg,0.7226920452417357
330,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317197_b8fb1_5fce477393cc7.jpg,0.7218108162934169
227,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3402213_129e4_6016c9d91af5e.jpg,0.7205893140160271
327,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3431821_a2699_6032b42134d40.jpg,0.7192077991870527
123,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3456005_f9a92_604aa59469b8e.jpg,0.7149322609502107
89,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346325_91707_5ff104e0ba3b8.jpg,0.7134814770779566
207,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_b617f_604aa0f13bff8.jpg,0.7115251201209415
353,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3456005_f097d_604aa5804bbf2.jpg,0.710699444609552
18,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3229409_31270_5fa98d8745491.jpg,0.7077726503411148
88,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_59ffc_604c9d7a61575.jpg,0.7077285599777201
200,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3456005_b5b57_604aa5c055ea8.jpg,0.7070992007939432
107,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2937366_cd15e_5f3f208a3c857.jpg,0.7060477218329483
215,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_f0a17_604aa10378252.jpg,0.7029687760716418
106,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_8262a_604aa0f75e2b7.jpg,0.7020552122328921
280,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1169139_0388d_5add0101e53c1.jpg,0.7018505724221241
86,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_aa7c4_5f38361d7eefe.jpg,0.7013366558942091
136,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_1c9a7_604c9d8490f77.jpg,0.7010948096201276
254,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_c619a_5f36c938aeb6a.jpg,0.7006917206365629
251,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2937366_18d9b_5f3f2064cce33.jpg,0.6953254583239254
42,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_210ea_604aa124391cb.jpg,0.6950572979610143
371,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3456005_66d68_604aa58846883.jpg,0.6949182927143043
62,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3402193_a57bc8dbe216896863eca942ac008373.jpg,0.6948823388891271
116,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317197_937ec_5fce46c536c6d.jpg,0.6906088579848831
364,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_71d65_604aa0ef41e75.jpg,0.6898617632828148
49,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346325_ff5dd_5ff104e38cb8d.jpg,0.688991540001961
311,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2937366_ce222_5f3f203b8f125.jpg,0.6889645466381645
293,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346325_5c84c_5ff104d7a18e2.jpg,0.6886197971610121
186,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_cdb6c_5f36cdd6a342c.jpg,0.6883422204912877
244,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_543b2_5f383666db898.jpg,0.6880166475540958
375,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3456005_06893_604aa5bb59ef6.jpg,0.6873134129092185
103,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3229409_9aec3_5fa98d9708223.jpg,0.6857992734127467
127,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_4c4d2_5f38366028a9a.jpg,0.6855555137634043
236,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3456005_ca26b_604aa58a5b34e.jpg,0.6843889896474094
10,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_962ef_604c9d6aa3d28.jpg,0.6795964470692963
26,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3548573_b394c_608d8f25d24ee.jpg,0.6737493379984182
93,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_3608c_5f3835565be64.jpg,0.6733930238701912
351,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_79cc6_604aa12c5e9f0.jpg,0.6718771427535807
289,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/49207_e06ff_58a9ea46d1e81.jpg,0.6716390311052431
112,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2923010_695c6_5f396fae754e2.jpg,0.6683539710757853
361,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1372846_3ff38_5cb0fa25bda24.jpg,0.6644853290978412
269,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346325_954e5_5ff104de8fdf3.jpg,0.6581994966775143
38,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_02385_604aa12e62f2e.jpg,0.6566717502669706
155,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2923010_95189_5f39730d16607.jpg,0.6545499899758856
45,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/49207_25187_58a9ea595d482.jpg,0.6534717329189709
108,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3229409_c0ca8_5fa98d789cd35.jpg,0.6531973606156622
374,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2907442_b5b4b_5f34c41e199a3.jpg,0.6524543460155238
102,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2923010_e9c6c_5f396fb16664b.jpg,0.6498301237401286
344,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_d90c9_5f38353ab9dd8.jpg,0.6492913422291919
2,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346325_22912_5ff104dc63708.jpg,0.6482611605373195
270,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2923010_4241a_5f39732f64da1.jpg,0.6477821577983609
367,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3402213_e0e28_6016c9e073657.jpg,0.646496519614297
333,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_950d7_5f36cbac2673f.jpg,0.6448287513339472
120,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_3c1b4_604aa10712277.jpg,0.6429748411424098
168,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2923010_66bbb_5f396fb6aa41b.jpg,0.6389148420175281
68,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_2a338_5f36c94b38a69.jpg,0.6375325007238191
366,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2923010_3d1ea_5f39733fe6ebd.jpg,0.6370729907467754
161,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2918366_7ff89_5f38363a51b8c.jpg,0.636855631525147
372,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/49207_22d43_58a9e990ef0b0.jpg,0.6365152708745194
46,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2937366_5b5c4_5f3f203e74a2d.jpg,0.6363338974283325
261,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_16c9b_5f36cdd8622a4.jpg,0.6357369143062992
217,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3431821_85b6f_6032b417d0d12.jpg,0.6348232760070798
13,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_b6bb7_5f36c9589fa6d.jpg,0.6344206945327767
295,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1372846_e99ea_5cb0fa365bdc9.jpg,0.6338677277604489
284,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_e9538_5f36c8c737c7b.jpg,0.6333905428948802
319,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_36272_5f36c943345e7.jpg,0.6328761852528932
189,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3402193_f494895515fbf4dd28b0ee4cfa57fc1d.jpg,0.6309554148757582
238,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2923010_e8b90_5f396f8071b21.jpg,0.6261148905277153
334,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_6e311_5f36c8c54f73f.jpg,0.624371794623617
