,filepath,uniqueness
29,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_2d9ec_604c9de54e369.jpg,1.0
48,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3641033_4354d_60bc3eaf978e5.jpg,0.9671395941909159
49,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3229761_59a38_5fa9aa995b48b.jpg,0.9540161182060389
52,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/186548_e71d3_5919c2bcc633e.jpg,0.935864027465889
15,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3431821_c2885_6032b4eaa94b0.jpg,0.9333613383586237
2,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459513_77406_604c74c8abaf9.jpg,0.9286032067575334
51,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2937366_2c6d8_5f3f1fd705b0d.jpg,0.9247712087470301
53,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819630_b5b42_5f1dc031e94e0.jpg,0.9171754559376583
24,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459857_d8b14_604c9e0591d31.jpg,0.9165847276706525
91,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346329_f6755_5ff106f91eae9.jpg,0.9032415167747933
25,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317161_c6259_5fce42d388696.jpg,0.9015142356832511
58,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3229761_891e1_5fa9aaa48850b.jpg,0.8947423380355378
26,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/49207_71f9e_58a9eb0ee0920.jpg,0.8914225210485907
97,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2095738_a41d5_5e7f48fc8a49f.jpg,0.8890864866047629
75,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459853_cf47d_604c9c37e79a0.jpg,0.8791913510032832
35,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3229409_576c4_5fa98f85a7cd6.jpg,0.8565810069263616
83,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317161_02c3a_5fce42bf88b42.jpg,0.8508350342052494
101,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3346325_4b29a_5ff10592ce42f.jpg,0.8502838443704365
0,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2095738_9f184_5e7f48fe1537b.jpg,0.8498789886315646
60,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3459513_3bf02_604c74b48b67c.jpg,0.847939376601845
54,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3461585_81040_604d968988f60.jpg,0.844660181050351
7,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317161_6da10_5fce42f6c560d.jpg,0.8422030572419378
45,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2937366_042bc_5f3f1fc2dea01.jpg,0.8417587212834946
82,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3431821_baaf9_6032b4468d4eb.jpg,0.8381075546784504
88,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317161_d0f92_5fce42c152fbc.jpg,0.829158361425138
