,filepath,uniqueness
204,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_c0a0d_5f2a0a419a937.jpg,1.0
233,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1360360_7c282_5c9f7ad84dc1d.jpg,0.9183438002286004
436,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_35b5e_5f2a095751d4c.jpg,0.8985416472728494
132,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3461585_6af0c_604d9620269ed.jpg,0.8736298488773052
271,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_6c547_604aa06deaa7d.jpg,0.8304430977739612
338,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3229409_8c55e_5fa98cacd3c54.jpg,0.7998033794355474
506,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/367210_9dd8c_592842801698c.jpg,0.7979158553734783
129,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3456005_743b1_604aa449b3740.jpg,0.7912876092450742
575,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1360360_f867e_5c9f7adc3ab00.jpg,0.7906047695069608
678,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2865162_01119_5f2a0d25004be.jpg,0.7763437818372548
644,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1360360_e8966_5c9f7ac28f44a.jpg,0.7758171854105784
284,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235221_8e617_5fabfccdc4d05.jpg,0.771284959340031
299,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3461317_637bf_604d614206b5f.jpg,0.748862829780806
510,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1169139_26dd1_5add00b7b6e34.jpg,0.7477553537944652
546,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1360360_b241d_5c9f7acf74fea.jpg,0.7420101226026855
19,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/47421_6cabc_58933dc8064b4.jpg,0.7416886895884593
680,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/1360360_db8e7_5c9f7accd5ddc.jpg,0.7351701375885565
