,filepath,uniqueness
122,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317197_b4ae2_5fce4778288ce.jpg,1.0
135,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2937366_06fea_5f3f1ff71bd35.jpg,0.9688198260532347
73,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912526_63857_5f36a1c14cb74.jpg,0.9642063995077501
88,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235117_c234e_5fabf5ff666f3.jpg,0.9095245072178738
30,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235117_addc5_5fabf574a73f1.jpg,0.8322548392150948
93,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912526_58265_5f36a4236f2da.jpg,0.8185263277179095
86,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235117_f5e4c_5fabf60f775e5.jpg,0.8142337101914588
54,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3402213_c2885_6016ca9ac8f0e.jpg,0.7679557819764413
136,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317197_bc262_5fce477cb6f42.jpg,0.7643986417619507
9,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235117_60842_5fabf55a70773.jpg,0.7546994310575046
142,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2937366_0e723_5f3f1ff0084cc.jpg,0.7421342698636966
49,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3402213_cd7c0_6016ca9b81794.jpg,0.7371350158001246
13,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235117_fad79_5fabf60ddc1d1.jpg,0.7290496393961701
84,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317197_148f5_5fce477e1e8aa.jpg,0.7265857451809344
137,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_dfbd0_5f36cdda57195.jpg,0.719570077915262
108,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2913090_72aed_5f36c98437365.jpg,0.7186915152575308
94,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235117_855f1_5fabf614450ef.jpg,0.7174779506666031
39,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3455945_f8c1d_604a9fe1617e0.jpg,0.7145796010190055
59,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2907442_4a23e_5f34c45b37f7a.jpg,0.7059019834257871
8,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3493677_fad83_607162f5c20c6.jpg,0.6979384594256509
141,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235117_36861_5fabf61924c92.jpg,0.6977628667422067
41,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235117_4e750_5fabf55c0b26a.jpg,0.6955454625383504
22,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2937366_3ddc0_5f3f2037a9fcc.jpg,0.6879406072609956
81,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3317197_80609_5fce477f857a4.jpg,0.6874774057151845
112,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2819646_ea3be_5f1dc122d2c98.jpg,0.6858565404360625
47,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912526_a34ab_5f36a1cd44304.jpg,0.682603678162903
96,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/3235117_8d391_5fabf605d3b5d.jpg,0.680927159990872
37,/home/yiwei/Documents/New Fast Image Analysis/Kartaview_Dataset/Rest_set/2912526_1ed11_5f36a414d50af.jpg,0.6789369133094663
